x,y,z
0.033,0.001,0.298
0.032,0.001,0.298
0.032,0.002,0.298
0.031,0.002,0.298
0.029,0.002,0.299
0.028,0.002,0.299
0.026,0.003,0.299
0.025,0.003,0.299
0.023,0.003,0.299
0.021,0.004,0.299
0.019,0.004,0.299
0.017,0.004,0.300
0.015,0.004,0.300
0.013,0.005,0.300
0.011,0.005,0.300
0.009,0.005,0.300
0.006,0.005,0.300
0.004,0.004,0.300
0.002,0.004,0.300
0.000,0.004,0.300
-0.001,0.004,0.300
-0.003,0.003,0.300
-0.005,0.003,0.300
-0.006,0.002,0.300
-0.007,0.002,0.300
-0.009,0.002,0.300
-0.009,0.001,0.300
-0.010,0.001,0.300
-0.011,0.000,0.300
-0.011,-0.000,0.300
-0.011,-0.000,0.300
